Wall time,Step,Value
1751245749.442401,2023424,-34660.36328125
1751245751.587832,2025472,-34564.41015625
1751245773.0579488,2041856,-34286.72265625
1751245783.3424242,2050048,-34535.328125
1751245787.423805,2054144,-34673.5078125
1751245791.359324,2058240,-34720.21484375
1751245795.4139898,2060288,-34747.77734375
1751245802.8181918,2066432,-35032.703125
1751245805.121857,2068480,-34970.1015625
1751245811.1243489,2072576,-35130.5546875
1751245813.042217,2074624,-35153.5859375
1751245815.131428,2076672,-35047.22265625
1751245817.2927191,2078720,-35441.796875
1751245825.960879,2084864,-35760.00390625
1751245850.3486469,2101248,-36503.30859375
1751245855.712729,2105344,-36524.1171875
1751245859.9915478,2109440,-36509.57421875
1751245866.508668,2113536,-36111.1875
1751245868.535406,2115584,-36232.23046875
1751245870.563434,2117632,-36282.91796875
1751245876.8439271,2121728,-36575.7734375
1751245881.2191029,2125824,-36603.10546875
1751245883.371687,2127872,-36748.31640625
1751245885.7080152,2129920,-36794.66015625
1751245895.464531,2136064,-36587.38671875
1751245904.312125,2140160,-36367.35546875
1751245922.089546,2154496,-35750.046875
1751245924.687619,2156544,-35597.93359375
1751245943.599734,2162688,-34996.17578125
1751245953.4242592,2166784,-34964.734375
1751245971.1973891,2179072,-34984.44921875
1751245976.520211,2181120,-35205.09765625
1751245981.487201,2185216,-34731.30078125
1751245985.760023,2189312,-34433.62109375
1751245997.7046359,2197504,-34671.56640625
1751246009.4653199,2205696,-34443.109375
1751246013.752832,2209792,-34518.55859375
1751246020.4703202,2213888,-34501.05859375
1751246028.9925609,2220032,-34557.125
1751246031.876631,2222080,-34670.5546875
1751246034.237537,2224128,-34776.015625
1751246037.1742668,2226176,-34755.6484375
1751246054.4876878,2238464,-34848.14453125
1751246059.132191,2240512,-34929.96875
1751246074.5513952,2252800,-35241.91015625
1751246078.573822,2256896,-35291.80859375
1751246084.347695,2260992,-35183.73828125
1751246086.553866,2263040,-34704.74609375
1751246088.756416,2265088,-34555.96875
1751246112.657939,2283520,-34589.4765625
1751246116.88435,2287616,-34650.23828125
1751246125.922274,2293760,-34572.51953125
1751246136.069084,2301952,-34944.07421875
1751246140.0754108,2306048,-34637.8203125
1751246142.051473,2308096,-34669.73828125
1751246152.1692858,2316288,-34231.6796875
1751246154.126304,2318336,-33719.6171875
1751246161.022709,2322432,-33770.22265625
1751246163.335566,2324480,-33934.94140625
1751246165.394652,2326528,-33824.05078125
1751246173.734466,2332672,-34384.42578125
1751246175.944031,2334720,-34504.33203125
1751246207.434007,2355200,-34543.125
1751246211.36681,2359296,-34695.65234375
1751246215.418636,2361344,-34559.22265625
1751246221.809925,2367488,-34315.44921875
1751246223.727147,2369536,-34233.9609375
1751246227.7194529,2371584,-34151.05078125
1751246234.140592,2377728,-34474.30078125
1751246236.253505,2379776,-35056.17578125
1751246241.525408,2381824,-35251.640625
1751246306.901706,2412544,-34685.7734375
1751246313.1621618,2418688,-34939.515625
1751246319.375079,2422784,-34498.109375
1751246321.593052,2424832,-34547.10546875
1751246325.920434,2428928,-34552.23046875
1751246330.11271,2430976,-34561.80859375
1751246337.2913191,2437120,-34708.859375
1751246345.596428,2443264,-34426.76171875
1751246347.630192,2445312,-34404.62109375
1751246349.636488,2447360,-33958.0859375
1751246351.86423,2449408,-34045.72265625
1751246357.87961,2453504,-33784.53515625
1751246362.373396,2457600,-33718.55078125
1751246368.456528,2461696,-33806.87109375
1751246372.628596,2465792,-33698.58203125
1751246374.6710742,2467840,-33716.09375
1751246381.408055,2471936,-34191.1953125
1751246385.688642,2476032,-34512.79296875
1751246391.390466,2480128,-34799.12109375
1751246394.481025,2482176,-34927.6171875
1751246397.229932,2484224,-34683.09765625
1751246399.194711,2486272,-34802.9375
1751246401.44099,2488320,-34901.55859375
1751246426.49437,2508800,-35427.63671875
1751246437.1662772,2516992,-35366.7265625
1751246448.107014,2525184,-36057.921875
1751246450.158188,2527232,-35833.078125
1751246452.157761,2529280,-35707.12890625
1751246459.724492,2533376,-35955.93359375
1751246467.000939,2539520,-36084.03125
1751246475.1085608,2545664,-35696.94921875
1751246482.073619,2549760,-35789.50390625
1751246489.3446069,2553856,-36080.1015625
1751246491.264854,2555904,-35732.296875
1751246497.197949,2560000,-35854.9921875
1751246508.5308108,2568192,-35889.06640625
1751246513.631333,2570240,-35626.86328125
1751246516.443605,2572288,-35603.453125
1751246521.8916621,2576384,-35422.9609375
1751246524.292224,2578432,-35635.03515625
1751246532.6914382,2584576,-36061.51953125
1751246534.7353752,2586624,-35933.4921875
1751246536.783927,2588672,-35895.70703125
1751246540.655283,2590720,-35709.72265625
1751246544.700966,2594816,-35412.99609375
1751246557.12708,2605056,-35563.30078125
1751246559.207485,2607104,-35686.67578125
1751246565.411098,2611200,-35567.2890625
1751246573.331224,2619392,-35727.484375
1751246577.7355661,2621440,-35167.70703125
1751246582.152631,2625536,-35312.921875
1751246593.647851,2633728,-35697.703125
1751246597.598326,2637824,-35653.3515625
1751246608.151447,2646016,-35450.453125
1751246610.154668,2648064,-35599.58984375
1751246613.8740191,2650112,-35563.8125
1751246615.871542,2652160,-35643.05859375
1751246620.3956878,2656256,-35661.22265625
1751246628.4746728,2662400,-36104.265625
1751246630.508267,2664448,-36223.64453125
1751246634.579767,2668544,-36054.5234375
1751246638.985075,2670592,-36194.43359375
1751246641.222006,2672640,-36078.6171875
1751246656.701712,2684928,-35188.44140625
1751246661.008002,2689024,-35142.2734375
1751246665.375499,2691072,-35354.24609375
1751246669.5439732,2695168,-35791.33984375
1751246671.544544,2697216,-36004.546875
1751246679.90216,2703360,-35488.25
1751246681.9961312,2705408,-35408.48828125
1751246693.7588422,2715648,-35644.34765625
1751246696.241498,2717696,-35500.890625
1751246698.279954,2719744,-35364.71484375
1751246708.3228002,2725888,-35190.30859375
1751246712.514713,2729984,-34390.0
1751246716.797297,2732032,-34215.3359375
1751246718.879054,2734080,-33952.20703125
1751246721.0828512,2736128,-34223.5703125
1751246723.079635,2738176,-34315.5625
1751246726.955979,2740224,-34371.12890625
1751246742.4921238,2752512,-35321.3359375
1751246758.266711,2762752,-34865.7890625
1751246764.3623738,2764800,-35028.69921875
1751246766.961067,2766848,-34906.37890625
1751246769.822093,2768896,-35429.37109375
